id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
909003,33,54.393002,1,1,1,4,1,5,1,3,13,86
910004,33,49.272999,1,1,4,3,5,4,3,3,94,75
910006,33,54.960999,1,1,4,3,5,4,3,3,89,75
910007,33,55.534,1,0,3,3,3,4,2,3,55,75
913004,34,49.897999,1,0,4,4,5,4,3,3,94,77
913005,34,56.287998,1,0,3,4,4,4,2,3,65,77
915003,34,63.382,1,0,1,3,1,3,1,2,2,58
915004,34,54.393002,1,1,4,3,5,3,3,2,82,58
915005,34,54.358002,1,1,4,3,4,3,3,2,80,58
916004,31,53.578999,1,0,3,3,3,3,2,2,59,54
916005,31,55.696999,1,1,4,3,4,3,3,2,79,54
922003,38,54.563999,1,0,4,4,5,5,3,3,90,100
922004,38,61.549999,1,1,3,4,3,5,2,3,58,100
922005,38,60.057999,1,1,4,4,5,5,3,3,82,100
923004,38,61.526001,1,1,1,4,1,5,1,3,3,83
935003,16,51.800999,1,1,3,4,4,5,3,3,70,97
935004,16,51.967999,1,1,3,4,3,5,2,3,55,97
935005,16,48.388,1,1,4,4,5,5,3,3,90,97
952003,42,67.619003,1,1,4,4,5,5,3,3,99,85
958004,44,68.749001,1,0,4,3,5,4,3,2,94,67
961003,25,48.414001,1,1,1,1,1,1,1,1,19,17
961005,26,42.709,1,1,2,1,3,2,2,1,48,21
964003,17,58.717999,1,1,1,2,1,2,1,2,1,38
964004,17,41.603001,1,1,1,2,1,2,1,2,12,38
964005,17,56.672001,1,0,3,2,3,2,2,2,58,38
970003,30,53.124001,1,1,2,2,2,3,2,2,35,47
971004,30,62.972,1,0,3,4,4,5,2,3,65,89
980003,18.5,44.478001,1,1,2,2,2,3,1,2,33,50
982003,25,39.687,1,1,2,2,3,2,2,2,50,36
998003,34,55.931,1,0,4,4,5,5,3,3,94,87
999003,34,55.901001,1,0,4,3,5,4,3,3,81,75
999004,34,53.500999,1,1,4,3,5,4,3,3,94,75
999005,34,52.749001,1,1,1,3,1,4,1,3,4,75
1000003,34,64.805,1,1,4,4,5,5,3,3,95,82
1000004,34,64.013,1,1,4,4,5,5,3,3,100,82
1000005,34,54.465,1,0,4,4,5,5,3,3,100,82
1012003,42,75.346001,1,0,4,4,5,5,3,3,100,93
1013005,42,68.026001,1,0,3,4,3,4,2,3,52,78
1016005,48,82.058998,1,0,3,2,3,3,2,2,60,43
1028006,16,44.682999,1,1,3,1,3,1,2,1,60,4
1036003,32,49.924999,1,0,3,3,4,4,3,3,69,73
1037005,27,57.710999,1,1,2,4,2,5,2,3,34,92
1043007,33,58.494999,1,1,1,1,1,2,1,1,7,21
1047003,17,52.898998,1,1,1,4,1,5,1,3,5,96
1047004,17,53.324001,1,1,3,4,4,5,2,3,63,96
1048003,19,43.318001,1,1,1,1,2,1,1,1,25,10
1048004,19,43.318001,1,1,1,1,1,1,1,1,12,10
1048005,19,52.053001,1,0,1,1,2,1,1,1,23,10
1048006,19,96.300003,1,1,2,1,3,1,2,1,42,10
1051004,38,66.346001,1,0,2,1,2,1,2,1,39,13
1051005,38,54.688999,1,0,2,1,2,1,1,1,27,13
1055003,36,63.631001,1,0,2,3,3,4,2,2,47,62
1061004,34,52.721001,1,1,3,4,4,5,3,3,72,98
1061005,34,50.709,1,0,1,4,2,5,1,3,23,98
1066003,25,47.448002,1,1,1,1,1,1,1,1,20,11
1072003,30,54.660999,1,0,3,3,4,4,3,2,69,65
1077003,30,51.696999,1,1,4,3,4,4,3,2,80,66
1079006,35,61.443001,1,0,2,3,2,4,1,2,30,64
1080003,40,56.129002,1,1,3,1,4,2,2,1,66,23
1081003,34,60.289001,1,0,4,4,5,5,3,3,82,87
1081004,34,53.773998,1,1,3,4,4,5,3,3,74,87
1081006,34,54.203999,1,1,4,4,4,5,3,3,78,87
1083003,42,68.728996,1,1,3,4,4,5,2,3,61,99
1083004,42,67.778,1,1,3,4,3,5,2,3,56,99
1083005,42,60.174,1,0,4,4,5,5,3,3,82,99
1084003,26,41.816002,1,1,4,3,5,4,3,2,81,66
1084004,26,42.147999,1,1,2,3,2,4,1,2,32,66
1084005,26,42.455002,1,1,1,3,1,4,1,2,13,66
1084007,26,51.049999,1,0,1,3,1,4,1,2,7,66
1085002,34,61.721001,1,1,1,1,1,1,1,1,16,6
1089004,34,49.665001,1,0,3,2,4,2,3,2,71,35
1093003,38,62.660999,1,1,1,3,1,4,1,3,2,74
1094004,30,53.212002,1,0,2,4,2,5,1,3,26,83
